x,y,J,ED,p_near,p_none,probability_sum
-240.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-180.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-120.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-60.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
0.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
60.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
120.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
180.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
240.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
300.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
360.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
420.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
480.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
540.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
600.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
660.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
720.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
780.0,-1620.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-840.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-780.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-720.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-660.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-600.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-540.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-480.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-420.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-360.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-300.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-240.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-180.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-120.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-60.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
0.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
60.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
120.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
180.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
240.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
300.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
360.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
420.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
480.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
540.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
600.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
660.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
720.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
780.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
840.0,-1560.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-960.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-900.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-840.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-780.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-720.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-660.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-600.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-540.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-480.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-420.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-360.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-300.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-240.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-180.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-120.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-60.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
0.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
60.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
120.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
180.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
240.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
300.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
360.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
420.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
480.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
540.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
600.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
660.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
720.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
780.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
840.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
900.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
960.0,-1500.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1080.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1020.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-960.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-900.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-840.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-780.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-720.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-660.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-600.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-540.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-480.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-420.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-360.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-300.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-240.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-180.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-120.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-60.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
0.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
60.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
120.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
180.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
240.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
300.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
360.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
420.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
480.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
540.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
600.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
660.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
720.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
780.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
840.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
900.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
960.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
1020.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
1080.0,-1440.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1140.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1080.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1020.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-960.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-900.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-840.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-780.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-720.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-660.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-600.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-540.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-480.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-420.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-360.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-300.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-240.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-180.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-120.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-60.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
0.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
60.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
120.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
180.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
240.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
300.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
360.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
420.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
480.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
540.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
600.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
660.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
720.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
780.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
840.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
900.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
960.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
1020.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
1080.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
1140.0,-1380.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1200.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1140.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1080.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1020.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-960.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-900.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-840.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-780.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-720.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-660.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-600.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-540.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-480.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-420.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-360.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-300.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-240.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-180.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-120.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-60.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
0.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
60.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
120.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
180.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
240.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
300.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
360.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
420.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
480.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
540.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
600.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
660.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
720.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
780.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
840.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
900.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
960.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
1020.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
1080.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
1140.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
1200.0,-1320.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1260.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1200.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1140.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1080.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1020.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-960.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-900.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-840.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-780.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-720.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-660.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-600.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-540.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-480.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-420.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-360.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-300.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-240.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-180.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-120.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-60.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
0.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
60.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
120.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
180.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
240.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
300.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
360.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
420.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
480.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
540.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
600.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
660.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
720.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
780.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
840.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
900.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
960.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
1020.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
1080.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
